POS,LOW,HIGH,DESCRIPTION,LONG_DESCRIPTION,PARENT_POS
1,1000,1999,CC,Coordinatingconjunction,-1
2,2000,2999,CD,Cardinalnumber,-1
3,3000,3999,DT,Determiner,-1
4,4000,4999,EX,Existentialthere,-1
5,5000,5999,FW,Foreignword,-1
6,6000,6999,IN,Prepositionorsubordinatingconjunction,-1
7,7000,7999,JJ,Adjective,-1
8,7100,7199,JJR,"Adjective,comparative",7
9,7200,7299,JJS,"Adjective,superlative",7
10,8000,1999,LS,Listitemmarker,-1
11,9000,1999,MD,Modalverb,-1
12,10000,10999,N,"Noun,general",-1
13,10000,10599,NO,"Noun,butnotpropernoun",12
14,10000,10299,NN,"Noun,singularormass",13
15,10300,10399,NNS,"Noun,plural",13
16,10600,10999,NOP,"Propernoun,general",12
17,10600,10799,NP,"Propernoun,singular",16
18,10800,10899,NPS,"Propernoun,plural",16
19,11000,11999,PDT,Predeterminer,-1
20,12000,12999,POS,Possessiveending,-1
21,13000,13999,PP,Personalpronoun,-1
22,14000,14999,PP$,Possessivepronoun,-1
23,15000,15999,RB,Adverb,-1
24,15000,15599,RBR,"Adverb,comparative",23
25,15600,15999,RBS,"Adverb,superlative",23
26,16000,16999,RP,Particle,-1
27,17000,17999,SYM,Symbol,-1
28,18000,18999,TO,to,-1
29,19000,19999,UH,Interjection,-1
30,20000,20999,V,"Verb,general",-1
31,20000,20009,VB,"Verbbe,baseform",30
32,20010,20019,VBD,"Verbbe,pasttense",30
33,20020,20029,VBG,"Verbbe,gerundorpresentparticiple",30
34,20030,20039,VBN,"Verbbe,pastparticiple",30
35,20040,20049,VBP,"Verbbe,non-3rdpersonsingularpresent",30
36,20050,20059,VBZ,"Verbbe,3rdpersonsingularpresent",30
37,20060,20069,VV,"Verb,baseform",30
38,20070,20079,VVD,"Verb,pasttense",30
39,20080,20089,VVG,"Verb,gerundorpresentparticiple",30
40,20090,20099,VVN,"Verb,pastparticiple",30
41,20100,20109,VVP,"Verb,non-3rdpersonsingularpresent",30
42,20110,20119,VVZ,"Verb,3rdpersonsingularpresent",30
43,20120,20129,VH,"Verbhave,baseform",30
44,20130,20139,VHD,"Verbhave,pasttense",30
45,20140,20149,VHG,"Verbhave,gerundorpresentparticiple",30
46,20150,20159,VHN,"Verbhave,pastparticiple",30
47,20160,20169,VHP,"Verbhave,non-3rdpersonsingularpresent",30
48,20170,20179,VHZ,"Verbhave,3rdpersonsingularpresent",30
49,21000,21999,WDT,Wh-determiner,-1
50,22000,22999,WP,Wh-pronoun,-1
51,23000,23999,WP$,Possessivewh-pronoun,-1
52,24000,24999,WRB,Wh-adverb,-1
53,25000,25999,IN/that,Prepositionorsubordinatingconjunction,-1
54,26000,26999,:,Unknown,-1
